replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.73
Rep2,5,Ctrl,5,3,7.71
Rep3,8,Ctrl,8,2,5.19
Rep1,2,trt1,2,3,10.75
Rep2,6,trt1,6,1,12
Rep3,8,trt1,8,1,9.77
Rep1,2,trt2,2,1,9.1
Rep2,5,trt2,5,2,10.83
Rep3,9,trt2,9,2,8.51
Rep1,2,trt3,2,2,7.02
Rep2,4,trt3,4,1,7.98
Rep3,7,trt3,7,3,6.06
Rep1,3,trt4,3,3,9.34
Rep2,4,trt4,4,2,9.16
Rep3,9,trt4,9,1,9.23
Rep1,1,trt5,1,2,12.34
Rep2,5,trt5,5,1,10.75
Rep3,7,trt5,7,2,8.81
Rep1,3,trt6,3,2,9.89
Rep2,6,trt6,6,2,10.87
Rep3,7,trt6,7,1,8.92
Rep1,1,trt7,1,3,8.72
Rep2,4,trt7,4,3,9.72
Rep3,8,trt7,8,3,7.58
Rep1,1,trt8,1,1,10.5
Rep2,6,trt8,6,3,8.38
Rep3,9,trt8,9,3,8.36
