replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,5.23
Rep2,5,Ctrl,5,2,7.42
Rep3,9,Ctrl,9,1,4.69
Rep1,1,trt1,1,3,10.75
Rep2,6,trt1,6,3,12
Rep3,7,trt1,7,3,9.77
Rep1,2,trt2,2,3,9.1
Rep2,6,trt2,6,1,10.83
Rep3,8,trt2,8,2,8.51
Rep1,1,trt3,1,1,7.02
Rep2,4,trt3,4,2,7.98
Rep3,9,trt3,9,3,6.06
Rep1,2,trt4,2,1,9.34
Rep2,4,trt4,4,1,9.16
Rep3,7,trt4,7,2,9.23
Rep1,1,trt5,1,2,12.34
Rep2,5,trt5,5,3,10.75
Rep3,8,trt5,8,3,8.81
Rep1,3,trt6,3,3,9.89
Rep2,4,trt6,4,3,10.87
Rep3,8,trt6,8,1,8.92
Rep1,3,trt7,3,2,8.72
Rep2,6,trt7,6,2,9.72
Rep3,9,trt7,9,2,7.58
Rep1,3,trt8,3,1,10.5
Rep2,5,trt8,5,1,8.38
Rep3,7,trt8,7,1,8.36
