replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,2,5.87
Rep2,6,Ctrl,6,1,7.54
Rep3,9,Ctrl,9,1,5.33
Rep1,1,trt1,1,1,10.75
Rep2,4,trt1,4,3,12
Rep3,8,trt1,8,3,9.77
Rep1,3,trt2,3,1,9.1
Rep2,5,trt2,5,1,10.83
Rep3,9,trt2,9,2,8.51
Rep1,2,trt3,2,2,7.02
Rep2,6,trt3,6,3,7.98
Rep3,7,trt3,7,2,6.06
Rep1,1,trt4,1,3,9.34
Rep2,5,trt4,5,2,9.16
Rep3,7,trt4,7,1,9.23
Rep1,2,trt5,2,1,12.34
Rep2,4,trt5,4,1,10.75
Rep3,9,trt5,9,3,8.81
Rep1,2,trt6,2,3,9.89
Rep2,5,trt6,5,3,10.87
Rep3,8,trt6,8,2,8.92
Rep1,3,trt7,3,2,8.72
Rep2,4,trt7,4,2,9.72
Rep3,7,trt7,7,3,7.58
Rep1,3,trt8,3,3,10.5
Rep2,6,trt8,6,2,8.38
Rep3,8,trt8,8,1,8.36
