replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.51
Rep2,6,Ctrl,6,1,7.97
Rep3,9,Ctrl,9,3,4.97
Rep1,2,trt1,2,3,10.75
Rep2,4,trt1,4,3,12
Rep3,7,trt1,7,2,9.77
Rep1,1,trt2,1,3,9.1
Rep2,4,trt2,4,1,10.83
Rep3,9,trt2,9,1,8.51
Rep1,1,trt3,1,1,7.02
Rep2,6,trt3,6,3,7.98
Rep3,7,trt3,7,1,6.06
Rep1,2,trt4,2,2,9.34
Rep2,5,trt4,5,2,9.16
Rep3,9,trt4,9,2,9.23
Rep1,1,trt5,1,2,12.34
Rep2,5,trt5,5,1,10.75
Rep3,8,trt5,8,2,8.81
Rep1,3,trt6,3,3,9.89
Rep2,4,trt6,4,2,10.87
Rep3,8,trt6,8,1,8.92
Rep1,3,trt7,3,2,8.72
Rep2,5,trt7,5,3,9.72
Rep3,7,trt7,7,3,7.58
Rep1,2,trt8,2,1,10.5
Rep2,6,trt8,6,2,8.38
Rep3,8,trt8,8,3,8.36
