replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,5.88
Rep2,6,Ctrl,6,1,7.95
Rep3,7,Ctrl,7,1,5.34
Rep1,2,trt1,2,3,10.75
Rep2,4,trt1,4,1,12
Rep3,8,trt1,8,1,9.77
Rep1,1,trt2,1,3,9.1
Rep2,6,trt2,6,3,10.83
Rep3,9,trt2,9,3,8.51
Rep1,1,trt3,1,2,7.02
Rep2,5,trt3,5,2,7.98
Rep3,8,trt3,8,2,6.06
Rep1,1,trt4,1,1,9.34
Rep2,4,trt4,4,3,9.16
Rep3,7,trt4,7,3,9.23
Rep1,3,trt5,3,2,12.34
Rep2,6,trt5,6,2,10.75
Rep3,8,trt5,8,3,8.81
Rep1,3,trt6,3,3,9.89
Rep2,5,trt6,5,3,10.87
Rep3,7,trt6,7,2,8.92
Rep1,2,trt7,2,1,8.72
Rep2,5,trt7,5,1,9.72
Rep3,9,trt7,9,1,7.58
Rep1,3,trt8,3,1,10.5
Rep2,4,trt8,4,2,8.38
Rep3,9,trt8,9,2,8.36
