replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.16
Rep2,4,Ctrl,4,2,7.85
Rep3,7,Ctrl,7,3,4.61
Rep1,2,trt1,2,3,10.75
Rep2,6,trt1,6,1,12
Rep3,7,trt1,7,2,9.77
Rep1,2,trt2,2,2,9.1
Rep2,4,trt2,4,3,10.83
Rep3,9,trt2,9,1,8.51
Rep1,2,trt3,2,1,7.02
Rep2,5,trt3,5,1,7.98
Rep3,8,trt3,8,3,6.06
Rep1,1,trt4,1,1,9.34
Rep2,6,trt4,6,2,9.16
Rep3,9,trt4,9,3,9.23
Rep1,1,trt5,1,3,12.34
Rep2,5,trt5,5,3,10.75
Rep3,7,trt5,7,1,8.81
Rep1,3,trt6,3,2,9.89
Rep2,6,trt6,6,3,10.87
Rep3,8,trt6,8,1,8.92
Rep1,1,trt7,1,2,8.72
Rep2,4,trt7,4,1,9.72
Rep3,8,trt7,8,2,7.58
Rep1,3,trt8,3,3,10.5
Rep2,5,trt8,5,2,8.38
Rep3,9,trt8,9,2,8.36
