replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.85
Rep2,4,Ctrl,4,3,7.89
Rep3,9,Ctrl,9,3,5.31
Rep1,1,trt1,1,3,10.75
Rep2,6,trt1,6,3,12
Rep3,8,trt1,8,1,9.77
Rep1,3,trt2,3,3,9.1
Rep2,5,trt2,5,1,10.83
Rep3,8,trt2,8,2,8.51
Rep1,2,trt3,2,1,7.02
Rep2,6,trt3,6,1,7.98
Rep3,9,trt3,9,1,6.06
Rep1,3,trt4,3,2,9.34
Rep2,6,trt4,6,2,9.16
Rep3,7,trt4,7,2,9.23
Rep1,1,trt5,1,1,12.34
Rep2,5,trt5,5,2,10.75
Rep3,9,trt5,9,2,8.81
Rep1,2,trt6,2,2,9.89
Rep2,4,trt6,4,1,10.87
Rep3,8,trt6,8,3,8.92
Rep1,1,trt7,1,2,8.72
Rep2,4,trt7,4,2,9.72
Rep3,7,trt7,7,3,7.58
Rep1,2,trt8,2,3,10.5
Rep2,5,trt8,5,3,8.38
Rep3,7,trt8,7,1,8.36
