replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,5.85
Rep2,6,Ctrl,6,1,7.33
Rep3,7,Ctrl,7,2,5.31
Rep1,2,trt1,2,3,10.75
Rep2,5,trt1,5,3,12
Rep3,9,trt1,9,1,9.77
Rep1,3,trt2,3,1,9.1
Rep2,6,trt2,6,2,10.83
Rep3,9,trt2,9,3,8.51
Rep1,3,trt3,3,2,7.02
Rep2,4,trt3,4,3,7.98
Rep3,7,trt3,7,3,6.06
Rep1,3,trt4,3,3,9.34
Rep2,5,trt4,5,1,9.16
Rep3,8,trt4,8,1,9.23
Rep1,2,trt5,2,1,12.34
Rep2,4,trt5,4,2,10.75
Rep3,8,trt5,8,2,8.81
Rep1,1,trt6,1,2,9.89
Rep2,5,trt6,5,2,10.87
Rep3,7,trt6,7,1,8.92
Rep1,1,trt7,1,3,8.72
Rep2,4,trt7,4,1,9.72
Rep3,9,trt7,9,2,7.58
Rep1,1,trt8,1,1,10.5
Rep2,6,trt8,6,3,8.38
Rep3,8,trt8,8,3,8.36
