replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,2,5.89
Rep2,5,Ctrl,5,3,7.99
Rep3,9,Ctrl,9,1,5.35
Rep1,2,trt1,2,3,10.75
Rep2,6,trt1,6,1,12
Rep3,9,trt1,9,2,9.77
Rep1,3,trt2,3,3,9.1
Rep2,6,trt2,6,3,10.83
Rep3,8,trt2,8,3,8.51
Rep1,1,trt3,1,1,7.02
Rep2,4,trt3,4,2,7.98
Rep3,8,trt3,8,1,6.06
Rep1,1,trt4,1,3,9.34
Rep2,6,trt4,6,2,9.16
Rep3,7,trt4,7,1,9.23
Rep1,3,trt5,3,2,12.34
Rep2,4,trt5,4,3,10.75
Rep3,9,trt5,9,3,8.81
Rep1,3,trt6,3,1,9.89
Rep2,5,trt6,5,1,10.87
Rep3,7,trt6,7,2,8.92
Rep1,2,trt7,2,2,8.72
Rep2,4,trt7,4,1,9.72
Rep3,7,trt7,7,3,7.58
Rep1,2,trt8,2,1,10.5
Rep2,5,trt8,5,2,8.38
Rep3,8,trt8,8,2,8.36
