replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,3,5.64
Rep2,4,Ctrl,4,2,7.26
Rep3,7,Ctrl,7,2,5.1
Rep1,3,trt1,3,2,10.75
Rep2,5,trt1,5,1,12
Rep3,7,trt1,7,3,9.77
Rep1,1,trt2,1,3,9.1
Rep2,5,trt2,5,3,10.83
Rep3,8,trt2,8,2,8.51
Rep1,3,trt3,3,3,7.02
Rep2,4,trt3,4,3,7.98
Rep3,8,trt3,8,1,6.06
Rep1,1,trt4,1,1,9.34
Rep2,4,trt4,4,1,9.16
Rep3,9,trt4,9,3,9.23
Rep1,1,trt5,1,2,12.34
Rep2,6,trt5,6,2,10.75
Rep3,7,trt5,7,1,8.81
Rep1,2,trt6,2,1,9.89
Rep2,5,trt6,5,2,10.87
Rep3,9,trt6,9,1,8.92
Rep1,2,trt7,2,2,8.72
Rep2,6,trt7,6,3,9.72
Rep3,8,trt7,8,3,7.58
Rep1,3,trt8,3,1,10.5
Rep2,6,trt8,6,1,8.38
Rep3,9,trt8,9,2,8.36
