replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,2,5.87
Rep2,4,Ctrl,4,3,8.02
Rep3,7,Ctrl,7,3,5.32
Rep1,3,trt1,3,1,10.75
Rep2,5,trt1,5,3,12
Rep3,9,trt1,9,3,9.77
Rep1,2,trt2,2,1,9.1
Rep2,6,trt2,6,2,10.83
Rep3,9,trt2,9,2,8.51
Rep1,1,trt3,1,1,7.02
Rep2,5,trt3,5,2,7.98
Rep3,8,trt3,8,1,6.06
Rep1,2,trt4,2,3,9.34
Rep2,4,trt4,4,1,9.16
Rep3,8,trt4,8,2,9.23
Rep1,2,trt5,2,2,12.34
Rep2,5,trt5,5,1,10.75
Rep3,7,trt5,7,2,8.81
Rep1,3,trt6,3,3,9.89
Rep2,6,trt6,6,1,10.87
Rep3,8,trt6,8,3,8.92
Rep1,1,trt7,1,3,8.72
Rep2,6,trt7,6,3,9.72
Rep3,7,trt7,7,1,7.58
Rep1,1,trt8,1,2,10.5
Rep2,4,trt8,4,2,8.38
Rep3,9,trt8,9,1,8.36
