replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.19
Rep2,6,Ctrl,6,3,7.51
Rep3,9,Ctrl,9,3,4.65
Rep1,3,trt1,3,3,10.75
Rep2,4,trt1,4,3,12
Rep3,7,trt1,7,1,9.77
Rep1,1,trt2,1,3,9.1
Rep2,6,trt2,6,1,10.83
Rep3,7,trt2,7,2,8.51
Rep1,2,trt3,2,3,7.02
Rep2,5,trt3,5,1,7.98
Rep3,7,trt3,7,3,6.06
Rep1,3,trt4,3,2,9.34
Rep2,5,trt4,5,2,9.16
Rep3,8,trt4,8,3,9.23
Rep1,2,trt5,2,2,12.34
Rep2,6,trt5,6,2,10.75
Rep3,8,trt5,8,2,8.81
Rep1,2,trt6,2,1,9.89
Rep2,4,trt6,4,1,10.87
Rep3,9,trt6,9,1,8.92
Rep1,1,trt7,1,2,8.72
Rep2,5,trt7,5,3,9.72
Rep3,9,trt7,9,2,7.58
Rep1,1,trt8,1,1,10.5
Rep2,4,trt8,4,2,8.38
Rep3,8,trt8,8,1,8.36
