replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,2,5.29
Rep2,5,Ctrl,5,3,8.01
Rep3,9,Ctrl,9,1,4.75
Rep1,1,trt1,1,3,10.75
Rep2,6,trt1,6,2,12
Rep3,8,trt1,8,3,9.77
Rep1,3,trt2,3,1,9.1
Rep2,5,trt2,5,2,10.83
Rep3,8,trt2,8,1,8.51
Rep1,2,trt3,2,3,7.02
Rep2,4,trt3,4,1,7.98
Rep3,8,trt3,8,2,6.06
Rep1,1,trt4,1,1,9.34
Rep2,4,trt4,4,3,9.16
Rep3,7,trt4,7,3,9.23
Rep1,3,trt5,3,3,12.34
Rep2,4,trt5,4,2,10.75
Rep3,9,trt5,9,3,8.81
Rep1,2,trt6,2,1,9.89
Rep2,5,trt6,5,1,10.87
Rep3,7,trt6,7,2,8.92
Rep1,2,trt7,2,2,8.72
Rep2,6,trt7,6,3,9.72
Rep3,9,trt7,9,2,7.58
Rep1,3,trt8,3,2,10.5
Rep2,6,trt8,6,1,8.38
Rep3,7,trt8,7,1,8.36
