replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,5.28
Rep2,4,Ctrl,4,2,7.86
Rep3,8,Ctrl,8,1,4.74
Rep1,3,trt1,3,2,10.75
Rep2,5,trt1,5,2,12
Rep3,8,trt1,8,2,9.77
Rep1,1,trt2,1,2,9.1
Rep2,4,trt2,4,1,10.83
Rep3,9,trt2,9,1,8.51
Rep1,1,trt3,1,3,7.02
Rep2,6,trt3,6,3,7.98
Rep3,8,trt3,8,3,6.06
Rep1,2,trt4,2,1,9.34
Rep2,5,trt4,5,1,9.16
Rep3,9,trt4,9,2,9.23
Rep1,3,trt5,3,3,12.34
Rep2,6,trt5,6,1,10.75
Rep3,9,trt5,9,3,8.81
Rep1,3,trt6,3,1,9.89
Rep2,4,trt6,4,3,10.87
Rep3,7,trt6,7,3,8.92
Rep1,2,trt7,2,3,8.72
Rep2,6,trt7,6,2,9.72
Rep3,7,trt7,7,2,7.58
Rep1,1,trt8,1,1,10.5
Rep2,5,trt8,5,3,8.38
Rep3,7,trt8,7,1,8.36
