replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,2,5.69
Rep2,6,Ctrl,6,3,7.51
Rep3,8,Ctrl,8,2,5.15
Rep1,2,trt1,2,2,10.75
Rep2,4,trt1,4,2,12
Rep3,8,trt1,8,1,9.77
Rep1,1,trt2,1,2,9.1
Rep2,5,trt2,5,2,10.83
Rep3,8,trt2,8,3,8.51
Rep1,2,trt3,2,3,7.02
Rep2,5,trt3,5,1,7.98
Rep3,9,trt3,9,3,6.06
Rep1,1,trt4,1,3,9.34
Rep2,6,trt4,6,2,9.16
Rep3,9,trt4,9,1,9.23
Rep1,2,trt5,2,1,12.34
Rep2,6,trt5,6,1,10.75
Rep3,7,trt5,7,2,8.81
Rep1,1,trt6,1,1,9.89
Rep2,4,trt6,4,3,10.87
Rep3,7,trt6,7,1,8.92
Rep1,3,trt7,3,1,8.72
Rep2,5,trt7,5,3,9.72
Rep3,7,trt7,7,3,7.58
Rep1,3,trt8,3,3,10.5
Rep2,4,trt8,4,1,8.38
Rep3,9,trt8,9,2,8.36
