replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,1,5.73
Rep2,4,Ctrl,4,1,7.4
Rep3,9,Ctrl,9,3,5.19
Rep1,2,trt1,2,3,10.75
Rep2,6,trt1,6,3,12
Rep3,7,trt1,7,2,9.77
Rep1,3,trt2,3,2,9.1
Rep2,4,trt2,4,3,10.83
Rep3,7,trt2,7,1,8.51
Rep1,1,trt3,1,3,7.02
Rep2,5,trt3,5,2,7.98
Rep3,7,trt3,7,3,6.06
Rep1,1,trt4,1,2,9.34
Rep2,6,trt4,6,1,9.16
Rep3,8,trt4,8,3,9.23
Rep1,2,trt5,2,2,12.34
Rep2,5,trt5,5,3,10.75
Rep3,9,trt5,9,1,8.81
Rep1,2,trt6,2,1,9.89
Rep2,4,trt6,4,2,10.87
Rep3,8,trt6,8,2,8.92
Rep1,3,trt7,3,1,8.72
Rep2,5,trt7,5,1,9.72
Rep3,8,trt7,8,1,7.58
Rep1,3,trt8,3,3,10.5
Rep2,6,trt8,6,2,8.38
Rep3,9,trt8,9,2,8.36
