replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,3,5.36
Rep2,6,Ctrl,6,2,7.65
Rep3,9,Ctrl,9,3,4.82
Rep1,2,trt1,2,3,10.75
Rep2,5,trt1,5,3,12
Rep3,9,trt1,9,1,9.77
Rep1,3,trt2,3,1,9.1
Rep2,6,trt2,6,3,10.83
Rep3,7,trt2,7,1,8.51
Rep1,2,trt3,2,1,7.02
Rep2,4,trt3,4,2,7.98
Rep3,7,trt3,7,2,6.06
Rep1,3,trt4,3,2,9.34
Rep2,4,trt4,4,1,9.16
Rep3,9,trt4,9,2,9.23
Rep1,3,trt5,3,3,12.34
Rep2,5,trt5,5,1,10.75
Rep3,8,trt5,8,2,8.81
Rep1,1,trt6,1,2,9.89
Rep2,4,trt6,4,3,10.87
Rep3,8,trt6,8,1,8.92
Rep1,1,trt7,1,1,8.72
Rep2,5,trt7,5,2,9.72
Rep3,7,trt7,7,3,7.58
Rep1,2,trt8,2,2,10.5
Rep2,6,trt8,6,1,8.38
Rep3,8,trt8,8,3,8.36
