replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,2,5.76
Rep2,6,Ctrl,6,2,7.54
Rep3,9,Ctrl,9,2,5.21
Rep1,1,trt1,1,1,10.75
Rep2,5,trt1,5,2,12
Rep3,9,trt1,9,3,9.77
Rep1,2,trt2,2,1,9.1
Rep2,4,trt2,4,3,10.83
Rep3,9,trt2,9,1,8.51
Rep1,3,trt3,3,1,7.02
Rep2,4,trt3,4,1,7.98
Rep3,8,trt3,8,3,6.06
Rep1,2,trt4,2,2,9.34
Rep2,6,trt4,6,3,9.16
Rep3,7,trt4,7,1,9.23
Rep1,1,trt5,1,3,12.34
Rep2,6,trt5,6,1,10.75
Rep3,8,trt5,8,1,8.81
Rep1,2,trt6,2,3,9.89
Rep2,5,trt6,5,1,10.87
Rep3,8,trt6,8,2,8.92
Rep1,1,trt7,1,2,8.72
Rep2,4,trt7,4,2,9.72
Rep3,7,trt7,7,2,7.58
Rep1,3,trt8,3,3,10.5
Rep2,5,trt8,5,3,8.38
Rep3,7,trt8,7,3,8.36
