replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,1,5.49
Rep2,5,Ctrl,5,1,8.01
Rep3,8,Ctrl,8,2,4.95
Rep1,3,trt1,3,3,10.75
Rep2,5,trt1,5,2,12
Rep3,9,trt1,9,1,9.77
Rep1,1,trt2,1,2,9.1
Rep2,6,trt2,6,3,10.83
Rep3,7,trt2,7,1,8.51
Rep1,2,trt3,2,1,7.02
Rep2,4,trt3,4,1,7.98
Rep3,8,trt3,8,1,6.06
Rep1,3,trt4,3,2,9.34
Rep2,6,trt4,6,1,9.16
Rep3,8,trt4,8,3,9.23
Rep1,2,trt5,2,2,12.34
Rep2,6,trt5,6,2,10.75
Rep3,9,trt5,9,3,8.81
Rep1,2,trt6,2,3,9.89
Rep2,5,trt6,5,3,10.87
Rep3,7,trt6,7,2,8.92
Rep1,1,trt7,1,3,8.72
Rep2,4,trt7,4,2,9.72
Rep3,9,trt7,9,2,7.58
Rep1,3,trt8,3,1,10.5
Rep2,4,trt8,4,3,8.38
Rep3,7,trt8,7,3,8.36
