replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,6.11
Rep2,5,Ctrl,5,1,7.84
Rep3,7,Ctrl,7,1,5.56
Rep1,1,trt1,1,3,10.75
Rep2,4,trt1,4,3,12
Rep3,7,trt1,7,2,9.77
Rep1,2,trt2,2,1,9.1
Rep2,4,trt2,4,2,10.83
Rep3,8,trt2,8,2,8.51
Rep1,1,trt3,1,2,7.02
Rep2,6,trt3,6,2,7.98
Rep3,8,trt3,8,1,6.06
Rep1,3,trt4,3,2,9.34
Rep2,6,trt4,6,3,9.16
Rep3,7,trt4,7,3,9.23
Rep1,3,trt5,3,3,12.34
Rep2,4,trt5,4,1,10.75
Rep3,9,trt5,9,1,8.81
Rep1,2,trt6,2,3,9.89
Rep2,6,trt6,6,1,10.87
Rep3,9,trt6,9,3,8.92
Rep1,3,trt7,3,1,8.72
Rep2,5,trt7,5,2,9.72
Rep3,8,trt7,8,3,7.58
Rep1,1,trt8,1,1,10.5
Rep2,5,trt8,5,3,8.38
Rep3,9,trt8,9,2,8.36
