replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,3,5.96
Rep2,4,Ctrl,4,1,7.45
Rep3,7,Ctrl,7,1,5.42
Rep1,2,trt1,2,3,10.75
Rep2,5,trt1,5,2,12
Rep3,9,trt1,9,1,9.77
Rep1,1,trt2,1,3,9.1
Rep2,5,trt2,5,3,10.83
Rep3,7,trt2,7,2,8.51
Rep1,1,trt3,1,1,7.02
Rep2,4,trt3,4,3,7.98
Rep3,9,trt3,9,3,6.06
Rep1,2,trt4,2,1,9.34
Rep2,6,trt4,6,3,9.16
Rep3,7,trt4,7,3,9.23
Rep1,2,trt5,2,2,12.34
Rep2,4,trt5,4,2,10.75
Rep3,8,trt5,8,2,8.81
Rep1,3,trt6,3,2,9.89
Rep2,6,trt6,6,1,10.87
Rep3,9,trt6,9,2,8.92
Rep1,1,trt7,1,2,8.72
Rep2,6,trt7,6,2,9.72
Rep3,8,trt7,8,1,7.58
Rep1,3,trt8,3,1,10.5
Rep2,5,trt8,5,1,8.38
Rep3,8,trt8,8,3,8.36
