replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,3,5.71
Rep2,4,Ctrl,4,3,7.69
Rep3,7,Ctrl,7,2,5.17
Rep1,3,trt1,3,2,10.75
Rep2,5,trt1,5,1,12
Rep3,7,trt1,7,3,9.77
Rep1,1,trt2,1,1,9.1
Rep2,5,trt2,5,2,10.83
Rep3,8,trt2,8,2,8.51
Rep1,1,trt3,1,2,7.02
Rep2,4,trt3,4,1,7.98
Rep3,9,trt3,9,1,6.06
Rep1,3,trt4,3,3,9.34
Rep2,4,trt4,4,2,9.16
Rep3,8,trt4,8,1,9.23
Rep1,2,trt5,2,1,12.34
Rep2,5,trt5,5,3,10.75
Rep3,9,trt5,9,2,8.81
Rep1,3,trt6,3,1,9.89
Rep2,6,trt6,6,2,10.87
Rep3,9,trt6,9,3,8.92
Rep1,1,trt7,1,3,8.72
Rep2,6,trt7,6,3,9.72
Rep3,7,trt7,7,1,7.58
Rep1,2,trt8,2,2,10.5
Rep2,6,trt8,6,1,8.38
Rep3,8,trt8,8,3,8.36
