replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,3,5.98
Rep2,6,Ctrl,6,3,7.09
Rep3,7,Ctrl,7,3,5.44
Rep1,1,trt1,1,2,10.75
Rep2,5,trt1,5,2,12
Rep3,8,trt1,8,1,9.77
Rep1,3,trt2,3,1,9.1
Rep2,6,trt2,6,2,10.83
Rep3,9,trt2,9,2,8.51
Rep1,3,trt3,3,2,7.02
Rep2,4,trt3,4,3,7.98
Rep3,8,trt3,8,3,6.06
Rep1,2,trt4,2,3,9.34
Rep2,6,trt4,6,1,9.16
Rep3,8,trt4,8,2,9.23
Rep1,1,trt5,1,1,12.34
Rep2,4,trt5,4,1,10.75
Rep3,9,trt5,9,3,8.81
Rep1,2,trt6,2,1,9.89
Rep2,5,trt6,5,3,10.87
Rep3,9,trt6,9,1,8.92
Rep1,2,trt7,2,2,8.72
Rep2,4,trt7,4,2,9.72
Rep3,7,trt7,7,1,7.58
Rep1,3,trt8,3,3,10.5
Rep2,5,trt8,5,1,8.38
Rep3,7,trt8,7,2,8.36
