replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,2,5.94
Rep2,4,Ctrl,4,3,7.5
Rep3,7,Ctrl,7,2,5.4
Rep1,2,trt1,2,2,10.75
Rep2,6,trt1,6,3,12
Rep3,8,trt1,8,1,9.77
Rep1,3,trt2,3,3,9.1
Rep2,6,trt2,6,2,10.83
Rep3,7,trt2,7,1,8.51
Rep1,2,trt3,2,3,7.02
Rep2,5,trt3,5,3,7.98
Rep3,7,trt3,7,3,6.06
Rep1,3,trt4,3,2,9.34
Rep2,5,trt4,5,1,9.16
Rep3,9,trt4,9,3,9.23
Rep1,2,trt5,2,1,12.34
Rep2,4,trt5,4,2,10.75
Rep3,9,trt5,9,1,8.81
Rep1,1,trt6,1,3,9.89
Rep2,5,trt6,5,2,10.87
Rep3,8,trt6,8,2,8.92
Rep1,1,trt7,1,1,8.72
Rep2,6,trt7,6,1,9.72
Rep3,9,trt7,9,2,7.58
Rep1,3,trt8,3,1,10.5
Rep2,4,trt8,4,1,8.38
Rep3,8,trt8,8,3,8.36
