replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,2,6.06
Rep2,4,Ctrl,4,3,7.13
Rep3,7,Ctrl,7,3,5.52
Rep1,3,trt1,3,1,10.75
Rep2,6,trt1,6,3,12
Rep3,9,trt1,9,1,9.77
Rep1,1,trt2,1,1,9.1
Rep2,4,trt2,4,2,10.83
Rep3,8,trt2,8,2,8.51
Rep1,2,trt3,2,1,7.02
Rep2,5,trt3,5,3,7.98
Rep3,7,trt3,7,2,6.06
Rep1,3,trt4,3,3,9.34
Rep2,5,trt4,5,1,9.16
Rep3,8,trt4,8,1,9.23
Rep1,2,trt5,2,3,12.34
Rep2,6,trt5,6,1,10.75
Rep3,8,trt5,8,3,8.81
Rep1,2,trt6,2,2,9.89
Rep2,4,trt6,4,1,10.87
Rep3,9,trt6,9,3,8.92
Rep1,1,trt7,1,3,8.72
Rep2,6,trt7,6,2,9.72
Rep3,7,trt7,7,1,7.58
Rep1,1,trt8,1,2,10.5
Rep2,5,trt8,5,2,8.38
Rep3,9,trt8,9,2,8.36
