replication,block,trt,Row,Col,yield
Rep1,2,Ctrl,2,2,5.51
Rep2,6,Ctrl,6,3,7.7
Rep3,7,Ctrl,7,3,4.97
Rep1,1,trt1,1,3,10.75
Rep2,5,trt1,5,2,12
Rep3,7,trt1,7,1,9.77
Rep1,3,trt2,3,2,9.1
Rep2,5,trt2,5,1,10.83
Rep3,8,trt2,8,1,8.51
Rep1,3,trt3,3,3,7.02
Rep2,4,trt3,4,2,7.98
Rep3,7,trt3,7,2,6.06
Rep1,2,trt4,2,3,9.34
Rep2,4,trt4,4,1,9.16
Rep3,8,trt4,8,3,9.23
Rep1,1,trt5,1,1,12.34
Rep2,4,trt5,4,3,10.75
Rep3,9,trt5,9,3,8.81
Rep1,3,trt6,3,1,9.89
Rep2,6,trt6,6,2,10.87
Rep3,9,trt6,9,2,8.92
Rep1,2,trt7,2,1,8.72
Rep2,5,trt7,5,3,9.72
Rep3,9,trt7,9,1,7.58
Rep1,1,trt8,1,2,10.5
Rep2,6,trt8,6,1,8.38
Rep3,8,trt8,8,2,8.36
