replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,1,5.35
Rep2,5,Ctrl,5,1,7.61
Rep3,8,Ctrl,8,2,4.81
Rep1,2,trt1,2,3,10.75
Rep2,6,trt1,6,2,12
Rep3,9,trt1,9,3,9.77
Rep1,1,trt2,1,3,9.1
Rep2,4,trt2,4,3,10.83
Rep3,9,trt2,9,2,8.51
Rep1,3,trt3,3,1,7.02
Rep2,5,trt3,5,2,7.98
Rep3,9,trt3,9,1,6.06
Rep1,1,trt4,1,2,9.34
Rep2,6,trt4,6,1,9.16
Rep3,7,trt4,7,3,9.23
Rep1,2,trt5,2,2,12.34
Rep2,4,trt5,4,2,10.75
Rep3,8,trt5,8,3,8.81
Rep1,3,trt6,3,2,9.89
Rep2,6,trt6,6,3,10.87
Rep3,8,trt6,8,1,8.92
Rep1,3,trt7,3,3,8.72
Rep2,4,trt7,4,1,9.72
Rep3,7,trt7,7,1,7.58
Rep1,2,trt8,2,1,10.5
Rep2,5,trt8,5,3,8.38
Rep3,7,trt8,7,2,8.36
