replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,3,5.41
Rep2,5,Ctrl,5,2,7.29
Rep3,7,Ctrl,7,2,4.87
Rep1,1,trt1,1,2,10.75
Rep2,5,trt1,5,3,12
Rep3,8,trt1,8,2,9.77
Rep1,2,trt2,2,3,9.1
Rep2,5,trt2,5,1,10.83
Rep3,9,trt2,9,1,8.51
Rep1,2,trt3,2,1,7.02
Rep2,6,trt3,6,1,7.98
Rep3,8,trt3,8,1,6.06
Rep1,1,trt4,1,3,9.34
Rep2,4,trt4,4,2,9.16
Rep3,9,trt4,9,2,9.23
Rep1,2,trt5,2,2,12.34
Rep2,4,trt5,4,3,10.75
Rep3,7,trt5,7,1,8.81
Rep1,1,trt6,1,1,9.89
Rep2,6,trt6,6,2,10.87
Rep3,7,trt6,7,3,8.92
Rep1,3,trt7,3,2,8.72
Rep2,4,trt7,4,1,9.72
Rep3,8,trt7,8,3,7.58
Rep1,3,trt8,3,1,10.5
Rep2,6,trt8,6,3,8.38
Rep3,9,trt8,9,3,8.36
