replication,block,trt,Row,Col,yield
Rep1,3,Ctrl,3,1,5.67
Rep2,4,Ctrl,4,1,7.68
Rep3,9,Ctrl,9,2,5.13
Rep1,3,trt1,3,3,10.75
Rep2,6,trt1,6,3,12
Rep3,8,trt1,8,1,9.77
Rep1,2,trt2,2,3,9.1
Rep2,6,trt2,6,1,10.83
Rep3,9,trt2,9,1,8.51
Rep1,1,trt3,1,2,7.02
Rep2,6,trt3,6,2,7.98
Rep3,7,trt3,7,1,6.06
Rep1,2,trt4,2,2,9.34
Rep2,4,trt4,4,2,9.16
Rep3,7,trt4,7,2,9.23
Rep1,1,trt5,1,1,12.34
Rep2,5,trt5,5,2,10.75
Rep3,9,trt5,9,3,8.81
Rep1,1,trt6,1,3,9.89
Rep2,4,trt6,4,3,10.87
Rep3,8,trt6,8,3,8.92
Rep1,3,trt7,3,2,8.72
Rep2,5,trt7,5,1,9.72
Rep3,7,trt7,7,3,7.58
Rep1,2,trt8,2,1,10.5
Rep2,5,trt8,5,3,8.38
Rep3,8,trt8,8,2,8.36
